yc,tc,yg,tg
1750,10.25,1750,8.72
1751,9.99,1751,7.98
1752,6.54,1752,5.78
1753,9.42,1753,8.39
1754,9.20,1754,8.47
1755,8.95,1755,8.36
1756,9.42,1756,8.85
1757,9.34,1757,9.02
1758,8.85,1758,6.74
1759,9.80,1759,7.99
1760,9.26,1760,7.19
1761,9.69,1761,8.77
1762,8.99,1762,8.61
1763,8.75,1763,7.50
1764,9.14,1764,8.40
1765,8.95,1765,8.25
1766,9.07,1766,8.41
1767,8.98,1767,8.22
1768,9.12,1768,6.78
1769,9.04,1769,7.69
1770,9.03,1770,7.69
1771,8.78,1771,7.85
1772,9.36,1772,8.19
1773,9.33,1773,8.22
1774,9.10,1774,8.77
1775,10.10,1775,9.18
1776,9.21,1776,8.30
1777,9.25,1777,8.26
1778,9.80,1778,8.54
1779,10.76,1779,8.98
1780,9.67,1780,9.43
1781,10.41,1781,8.10
1782,8.44,1782,7.90
1783,9.97,1783,7.68
1784,8.29,1784,7.86
1785,8.54,1785,7.36
1786,8.35,1786,8.26
1787,9.53,1787,8.03
1788,9.39,1788,8.45
1789,9.12,1789,8.33
1790,9.67,1790,7.98
1791,9.59,1791,8.23
1792,9.56,1792,8.09
1793,9.59,1793,8.23
1794,10.00,1794,8.53
1795,9.19,1795,8.35
1796,9.50,1796,8.27
1797,9.62,1797,8.51
1798,9.83,1798,8.67
1799,7.94,1799,8.51
1800,9.32,1800,8.48
1801,9.68,1801,8.59
1802,9.31,1802,8.58
1803,8.79,1803,8.50
1804,9.37,1804,8.84
1805,8.56,1805,8.56
1806,9.87,1806,8.43
1807,9.03,1807,8.28
1808,8.91,1808,7.63
1809,8.99,1809,7.08
1810,8.97,1810,6.92
1811,10.10,1811,6.86
1812,8.58,1812,7.05
1813,9.13,1813,7.74
1814,7.93,1814,7.59
1815,8.99,1815,7.24
1816,7.98,1816,6.94
1817,8.95,1817,6.98
1818,9.88,1818,7.83
1819,9.58,1819,7.37
1820,8.61,1820,7.62
1821,9.63,1821,8.09
1822,10.36,1822,8.19
1823,8.80,1823,7.72
1824,9.65,1824,8.55
1825,9.98,1825,8.39
1826,10.12,1826,8.36
1827,9.37,1827,8.81
1828,10.10,1828,8.17
1829,7.95,1829,7.94
1830,8.78,1830,8.52
1831,10.01,1831,7.64
1832,9.24,1832,7.45
1833,9.40,1833,8.01
1834,10.59,1834,8.15
1835,9.48,1835,7.39
1836,9.04,1836,7.70
1837,8.85,1837,7.38
1838,8.05,1838,7.51
1839,8.89,1839,7.63
1840,8.68,1840,7.80
1841,9.12,1841,7.69
1842,9.43,1842,8.02
1843,9.40,1843,8.17
1844,8.85,1844,7.65
1845,8.46,1845,7.85
1846,10.48,1846,8.55
1847,9.24,1847,8.09
1848,9.52,1848,7.98
1849,9.42,1849,7.98
1850,9.06,1850,7.90
